,county_year,eyewear_coverage_indicator,monthlyconsolidatedpremiumi,dental_coverage_indicator,hearing_aides_coverage_indicator,treated,untreated,excluded,persistent_treated,persistent_excluded,year,specialist_min_copay,county_encoded,Median_Household_Income,Total_Population,Percent_Hispanic,Percent_NonHispanic_Black,Percent_Unemployed,Percent_Female,Percent_Below_Poverty,Percent_HS,Percent_College
77,01250_2008,0.5853658536585366,29.165853658536584,0.2682926829268293,0.2926829268292683,0.0,0.0,0.0,0.0,0.0,2008.0,24.23076923076923,12.0,54558.0,76949.0,,,8.387059636196177,49.19102262537525,11.630600598903893,82.20158252446535,18.432224503218862
78,01250_2009,0.6944444444444444,33.30555555555556,0.6388888888888888,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,2009.0,26.060606060606062,12.0,52971.0,76714.0,1.815835440727898,21.41721198216753,7.858301471440157,49.431655238939435,13.145172757002701,83.05200908592465,18.780841231299444
79,01250_2010,0.4230769230769231,55.44230769230769,0.5384615384615384,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,2010.0,28.333333333333332,12.0,53128.0,77650.0,2.5305859626529292,19.979394719896973,4.071039784523876,50.74307791371538,12.373964963668111,83.80733413192164,20.23068897561729
80,01250_2011,0.5833333333333334,43.583333333333336,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,2011.0,26.666666666666668,12.0,54831.0,78641.0,2.6334863493597487,19.92853600539159,8.843833233679405,50.92508996579392,12.395691093915948,84.87259025253583,21.234323557957637
81,01250_2012,0.5833333333333334,44.416666666666664,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,2012.0,29.583333333333332,12.0,55514.0,79330.0,2.635825034665322,20.063027858313376,8.477166723760837,51.0626496911635,12.960245645498764,86.19514032774534,21.107553211527595
82,01250_2013,0.5833333333333334,50.208333333333336,0.6666666666666666,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,2013.0,30.416666666666668,12.0,54766.0,79895.0,2.6935352650353592,20.33418862256712,8.939981285924341,51.180924964015276,13.371216201658948,86.55242575273935,21.04496835974688
83,01250_2014,0.5454545454545454,47.72727272727273,0.7272727272727273,0.09090909090909091,1.0,0.0,0.0,1.0,0.0,2014.0,31.818181818181817,12.0,54159.0,80321.0,2.7141096350892044,20.533857895195528,8.645710613687479,51.058876259010724,12.942133984442755,87.16922392706249,21.401304573419317
84,01250_2015,0.6666666666666666,47.416666666666664,0.6666666666666666,0.16666666666666666,1.0,0.0,0.0,1.0,0.0,2015.0,33.333333333333336,12.0,53555.0,80763.0,2.759927194383567,21.0380991295519,8.26128460384563,51.26233547540334,13.6424243224333,86.61573495923015,21.42070080070521
85,01250_2016,0.8571428571428571,51.714285714285715,0.7142857142857143,0.5714285714285714,1.0,0.0,0.0,1.0,0.0,2016.0,30.357142857142858,12.0,53398.0,80957.0,2.8014872092592364,21.112442407697916,7.473161530139532,51.39765554553652,14.296964208371069,86.828025477707,22.238398544131027
86,01250_2017,0.5,58.25,0.625,0.25,1.0,0.0,0.0,1.0,0.0,2017.0,26.875,12.0,54981.0,80989.0,2.8596476064650758,21.21275728802677,7.326099756077046,51.40451172381435,13.527642415247001,86.3761351713159,22.846340316219834
87,01250_2018,0.8333333333333334,41.5,0.8333333333333334,0.5,1.0,0.0,0.0,1.0,0.0,2018.0,34.166666666666664,12.0,59347.0,81212.0,2.889966999950746,21.115106141949465,6.158756591729115,51.4234349603507,12.339110363444311,86.38067397191485,24.505461001811366
88,01250_2019,0.9285714285714286,35.785714285714285,1.0,0.5714285714285714,1.0,0.0,0.0,1.0,0.0,2019.0,31.785714285714285,12.0,60891.0,81144.0,2.9626343290939565,21.22522922212363,4.610404108059835,51.65877945381051,11.508801231780993,86.62399942951883,25.06551619631683
89,01360_2007,0.6666666666666666,39.955555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,2007.0,22.5,16.0,44283.0,659065.0,2.6929058590579076,40.869261757186315,7.793686601292145,52.64154521936379,15.20279432024038,85.44066468170092,27.949170861677747
